t;Q;Qmls
0;0.00000135;1.35
0.01;0.000004023;4.023
0.02;0.000009972;9.972
0.03;0.000021546;21.546
0.04;0.000041022;41.022
0.05;0.000069903;69.903
0.06;0.000108666;108.666
0.07;0.000156393;156.393
0.08;0.000210825;210.825
0.09;0.000268866;268.866
0.1;0.000327438;327.438
0.11;0.000383427;383.427
0.12;0.000433791;433.791
0.13;0.000475776;475.776
0.14;0.000507357;507.357
0.15;0.000527517;527.517
0.16;0.000536355;536.355
0.17;0.000535086;535.086
0.18;0.000525663;525.663
0.19;0.000510255;510.255
0.2;0.000490806;490.806
0.21;0.000468783;468.783
0.22;0.000445221;445.221
0.23;0.000420741;420.741
0.24;0.000395667;395.667
0.25;0.000370134;370.134
0.26;0.00034416;344.16
0.27;0.000317628;317.628
0.28;0.000290286;290.286
0.29;0.000261819;261.819
0.3;0.000232029;232.029
0.31;0.000201006;201.006
0.32;0.000169254;169.254
0.33;0.000137682;137.682
0.34;0.000107568;107.568
0.35;0.000083349;83.349
0.36;0.000053757;53.757
0.37;0.000017964;17.964
0.38;-0.000022032;-22.032
0.39;-0.000043884;-43.884
0.4;-0.000041922;-41.922
0.41;-0.000024687;-24.687
0.42;-0.000007974;-7.974
0.43;0.000000324;0.324
0.44;0.000001827;1.827
0.45;0.000000963;0.963
0.46;0.000000369;0.369
0.47;0.000000954;0.954
0.48;0.000001017;1.017
0.49;0.000000855;0.855
0.5;0;0
0.51;0;0
0.52;0;0
0.53;0;0
0.54;0;0
0.55;0;0
0.56;0;0
0.57;0;0
0.58;0;0
0.59;0;0
0.6;0;0
0.61;0;0
0.62;0;0
0.63;0;0
0.64;0;0
0.65;0;0
0.66;0;0
0.67;0;0
0.68;0;0
0.69;0;0
0.7;0;0
0.71;0;0
0.72;0;0
0.73;0;0
0.74;0;0
0.75;0;0
0.76;0;0
0.77;0;0
0.78;0;0
0.79;0;0
0.8;0;0
0.81;0;0
0.82;0;0
0.83;0;0
0.84;0;0
0.85;0;0
0.86;0;0
0.87;0;0
0.88;0;0
0.89;0;0
0.9;0;0
0.91;0;0
0.92;0;0
0.93;0;0
0.94;0;0
0.95;0;0
0.96;0;0
0.97;0;0
0.98;0;0
0.99;0;0
1;0;0
